Time,Error,P,I-Accumulator,D,Output,Input,Target
1625129018758,0,0,0,0,0,0,0
1625129018769,0,0,0,0,0,0,0
1625129018780,0,0,0,0,0,0,0
1625129018792,0,0,0,0,0,0,0
1625129018803,0,0,0,0,0,0,0
1625129018814,0,0,0,0,0,0,0
1625129018825,0,0,0,0,0,0,0
1625129018836,0,0,0,0,0,0,0
1625129018847,0,0,0,0,0,0,0
1625129018858,0,0,0,0,0,0,0
1625129018869,0,0,0,0,0,0,0
1625129018880,0,0,0,0,0,0,0
1625129018892,0,0,0,0,0,0,0
1625129018903,0,0,0,0,0,0,0
1625129018914,0,0,0,0,0,0,0
1625129018925,0,0,0,0,0,0,0
1625129018936,0,0,0,0,0,0,0
1625129018948,0,0,0,0,0,0,0
1625129018959,0,0,0,0,0,0,0
1625129018970,0,0,0,0,0,0,0
1625129018981,0,0,0,0,0,0,0
1625129018992,0,0,0,0,0,0,0
1625129019003,0,0,0,0,0,0,0
1625129019014,0,0,0,0,0,0,0
1625129019025,0,0,0,0,0,0,0
1625129019036,0,0,0,0,0,0,0
1625129019047,0,0,0,0,0,0,0
1625129019058,0,0,0,0,0,0,0
1625129019070,0,0,0,0,0,0,0
1625129019081,0,0,0,0,0,0,0
1625129019092,0,0,0,0,0,0,0
1625129019103,0,0,0,0,0,0,0
1625129019114,0,0,0,0,0,0,0
1625129019125,0,0,0,0,0,0,0
1625129019136,0,0,0,0,0,0,0
1625129019147,0,0,0,0,0,0,0
1625129019158,0,0,0,0,0,0,0
1625129019169,0,0,0,0,0,0,0
1625129019180,0,0,0,0,0,0,0
1625129019192,0,0,0,0,0,0,0
1625129019203,0,0,0,0,0,0,0
1625129019214,0,0,0,0,0,0,0
1625129019225,0,0,0,0,0,0,0
1625129019236,0,0,0,0,0,0,0
1625129019247,0,0,0,0,0,0,0
1625129019258,0,0,0,0,0,0,0
1625129019269,0,0,0,0,0,0,0
1625129019280,0,0,0,0,0,0,0
1625129019291,0,0,0,0,0,0,0
1625129019302,0,0,0,0,0,0,0
1625129019313,0,0,0,0,0,0,0
1625129019324,0,0,0,0,0,0,0
1625129019335,0,0,0,0,0,0,0
1625129019347,0,0,0,0,0,0,0
1625129019358,0,0,0,0,0,0,0
1625129019369,0,0,0,0,0,0,0
1625129019380,0,0,0,0,0,0,0
1625129019391,0,0,0,0,0,0,0
1625129019402,0,0,0,0,0,0,0
1625129019413,0,0,0,0,0,0,0
1625129019424,0,0,0,0,0,0,0
1625129019435,0,0,0,0,0,0,0
1625129019446,0,0,0,0,0,0,0
1625129019458,0,0,0,0,0,0,0
1625129019469,0,0,0,0,0,0,0
